書く | かく | 카쿠 (쓰다)[글 서]
性格 | せいかく | 세이카쿠 (성격)[성품 성/격식 격]
抹茶 | まっちゃ | 맛챠 (말차)[지울 말/차 차]
静か | しずか | 시즈카 (조용하다)[고요할 정]
穏やか | おだやか | 오다야카 (온화하다/평온하다)[평온할 온]
要る | いる | 이루 (필요하다)[구할 요]
姪 | めい | 메이 (조카딸)[조카딸 질]
置く | おく | 오쿠 (놓다/두다)[둘 치]
民 | たみ | 타미 (백성/국민)[백성 민]
匹 | ひき | 히키 (작은 동물을 세는 단위)[짝 필]
暖房 | だんぼう | 단보우 (난방)[따뜻할 난/방 방]
さつまいも | さつまいも | 사츠마이모 (고구마)
並ぶ | ならぶ | 나라부 (줄서다/나란히 서다)[나란할 병]
柔らかい | やわらかい | 야와라카이 (부드럽다)[부드러울 유]
爽やか | さわやか | 사와야카 (상쾌하다/산뜻하다)[시원할 상]
確実 | かくじつ | 카쿠지츠 (확실함)[굳을 확/열매 실]
苦しい | くるしい | 쿠루시이 (괴롭다/힘들다)[쓸 고]
苦い | にがい | 니가이 (쓰다/맛이 쓰다)[쓸 고]
驚く | おどろく | 오도로쿠 (놀라다)[놀랄 경]
努力 | どりょく | 도료쿠 (노력)[힘쓸 노/힘 력]
幸せ | しあわせ | 시아와세 (행복)[다행 행]
当たる | あたる | 아타루 (맞다/당첨되다)[마땅 당]
込む | こむ | 코무 (붐비다/안으로 들어가다)[들 입]
看護師 | かんごし | 칸고시 (간호사)[볼 간/도울 호/스승 사]
歯医者 | はいしゃ | 하이샤 (치과의사/치과)[이 치/의원 의/놈 자]
銀行員 | ぎんこういん | 긴코우인 (은행원)[은 은/다닐 행/인원 원]
公務員 | こうむいん | 코우무인 (공무원)[공평할 공/힘쓸 무/인원 원]
音楽家 | おんがくか | 온가쿠카 (음악가)[소리 음/풍류 악/집 가]
新聞社 | しんぶんしゃ | 신분샤 (신문사)[새 신/들을 문/모일 사]
貿易 | ぼうえき | 보우에키 (무역)[바꿀 무/바꿀 역]
盛る | もる | 모루 (담다/수북이 쌓다)[성할 성]
翻訳 | ほんやく | 혼야쿠 (번역)[뒤칠 번/번역할 역]
技術 | ぎじゅつ | 기술 (기술)[재주 기/재주 술]
産業 | さんぎょう | 산교우 (산업)[낳을 산/업 업]
工場 | こうじょう | 코우죠우 (공장)[장인 공/마당 장]
店員 | てんいん | 텐인 (점원)[가게 점/인원 원]
お客さん | おきゃくさん | 오캬쿠상 (손님)[손 객]
働く | はたらく | 하타라쿠 (일하다)[일할 동]
慣れる | なれる | 나레루 (익숙해지다)[익숙할 관]
羽 | はね | 하네 (날개/깃털)[깃 우]
港 | みなと | 미나토 (항구)[항구 항]
運転手 | うんてんしゅ | 운텐슈 (운전기사)[옮길 운/구를 전/손 수]
席 | せき | 세키 (자리/좌석)[자리 석]
守る | まもる | 마모루 (지키다/보호하다)[지킬 수]
呼ぶ | よぶ | 요부 (부르다)[부를 호]
向かう | むかう | 무카우 (향하다/마주하다)[향할 향]
混む | こむ | 코무 (붐비다/혼잡하다)[섞을 혼]
空く | すく | 스쿠 (비다/한산해지다)[빌 공]
交通 | こうつう | 코우츠우 (교통)[사귈 교/통할 통]
現わす | あらわす | 아라와스 (나타내다/표현하다)[나타날 현]
溢れる | あふれる | 아후레루 (넘치다/가득 차다)[넘칠 일]
測る | はかる | 하카루 (재다/측정하다)[잴 측]
家賃 | やちん | 야친 (집세/월세)[집 가/품삯 임]
おかず | おかず | 오카즈 (반찬)
選ぶ | えらぶ | 에라부 (고르다/선택하다)[가릴 선]
怯える | おびえる | 오비에루 (겁먹다/두려워하다)[겁낼 겁]
離れる | はなれる | 하나레루 (떨어지다/멀어지다)[떠날 리]
水着 | みずぎ | 미즈기 (수영복)[물 수/입을 착]
奪う | うばう | 우바우 (빼앗다)[빼앗을 탈]
燃える | もえる | 모에루 (타오르다/불타다)[사를 연]
辛い | からい | 카라이 (맵다)[매울 신]
塗る | ぬる | 누루 (바르다/칠하다)[칠할 도]
悲しい | かなしい | 카나시이 (슬프다)[슬플 비]
動く | うごく | 우고쿠 (움직이다)[움직일 동]
震える | ふるえる | 후루에루 (떨다/떨리다)[떨 진]
揺れる | ゆれる | 유레루 (흔들리다)[흔들 요]
賢い | かしこい | 카시코이 (똑똑하다/현명하다)[어질 현]
勤務 | きんむ | 킨무 (근무)[부지런할 근/힘쓸 무]
学ぶ | まなぶ | 마나부 (배우다)[배울 학]
沢山 | たくさん | 타쿠상 (많이/많은)[못 택/뫼 산]
綺麗 | きれい | 키레이 (예쁘다/깨끗하다)[비단 기/고울 려]
嫌い | きらい | 키라이 (싫어함/싫다)[싫어할 혐]
素敵 | すてき | 스테키 (멋지다/근사하다)[본디 소/대적할 적]
重ねる | かさねる | 카사네루 (겹치다/포개다)[무거울 중]
輝く | かがやく | 카가야쿠 (빛나다/반짝이다)[빛날 휘]
足りる | たりる | 타리루 (충분하다/족하다)[발 족]
表示 | ひょうじ | 효우지 (표시)[겉 표/보일 시]
汚い | きたない | 키타나이 (더럽다)[더러울 오]
鹿 | しか | 시카 (사슴)[사슴 록]
押す | おす | 오스 (밀다/누르다)[누를 압]
似合う | にあう | 니아우 (어울리다)[닮을 사/합할 합]
信じる | しんじる | 신지루 (믿다)[믿을 신]
出演 | しゅつえん | 슈츠엔 (출연)[날 출/펼 연]
破れる | やぶれる | 야부레루 (찢어지다/깨지다)[깨뜨릴 파]
圧倒的 | あっとうてき | 앗토우테키 (압도적)[누를 압/넘어질 도/과녁 적]
負ける | まける | 마케루 (지다/패배하다)[질 부]
匂い | におい | 니오이 (냄새/향기)[향내 내]
季節 | きせつ | 키세츠 (계절)[계절 계/마디 절]
旨い | うまい | 우마이 (맛있다/솜씨가 좋다)[맛있을 지]
狙う | ねらう | 네라우 (노리다/겨냥하다)[엿볼 저]
撮影 | さつえい | 사츠에이 (촬영)[찍을 촬/그림자 영]
撮る | とる | 토루 (찍다/촬영하다)[찍을 촬]
程 | ほど | 호도 (정도/만큼)[한도 정]
素晴らしい | すばらしい | 스바라시이 (훌륭하다/멋지다)[본디 소/맑을 청]
商業 | しょうぎょう | 쇼우교우 (상업)[장사 상/업 업]
普段 | ふだん | 후단 (평소/보통 때)[넓을 보/층계 단]
接近 | せっきん | 셋킨 (접근/가까이 다가감)[이을 접/가까울 근]
御座います | ございます | 고자이마스 (있습니다/입니다의 공손한 표현)[어거할 어/자리 좌]
謝罪 | しゃざい | 샤자이 (사죄/사과)[사례할 사/허물 죄]
演習 | えんしゅう | 엔슈우 (연습/실습)[펼 연/익힐 습]
お尻 | おしり | 오시리 (엉덩이)[꽁무니 고]
距離 | きょり | 쿄리 (거리)[상거할 거/떠날 리]
逆に | ぎゃくに | 갸쿠니 (반대로/오히려)[거스를 역]
締まる | しまる | 시마루 (조여지다/단단히 닫히다)[맺을 체]
確かに | たしかに | 타시카니 (확실히/분명히)[굳을 확]
限度 | げんど | 겐도 (한도/한계)[한계 한/법도 도]
依存 | いぞん | 이존 (의존)[의지할 의/있을 존]
大阪 | おおさか | 오오사카 (오사카)[큰 대/언덕 판]
防犯 | ぼうはん | 보우한 (방범)[막을 방/범할 범]
理想 | りそう | 리소우 (이상)[다스릴 리/생각 상]
禁止 | きんし | 킨시 (금지)[금할 금/그칠 지]
成功 | せいこう | 세이코우 (성공)[이룰 성/공 공]
全く | まったく | 맛타쿠 (전혀/완전히)[온전 전]
我慢 | がまん | 가만 (참음/인내)[나 아/게으를 만]
流石 | さすが | 사스가 (역시/과연)[흐를 류/돌 석]
姿 | すがた | 스가타 (모습/자태)[모양 자]
周り | まわり | 마와리 (주변/주위)[두루 주]
目指す | めざす | 메자스 (목표로 하다/지향하다)[눈 목/가리킬 지]
宮本 | みやもと | 미야모토 (미야모토/성씨)[집 궁/근본 본]
詳細 | しょうさい | 쇼우사이 (상세/자세한 내용)[자세할 상/가늘 세]
流行り | はやり | 하야리 (유행)[흐를 류/다닐 행]
範囲 | はんい | 한이 (범위)[법 범/둘레 위]
縛る | しばる | 시바루 (묶다/속박하다)[묶을 박]
曲 | きょく | 쿄쿠 (곡/노래)[굽을 곡]
纏める | まとめる | 마토메루 (정리하다/하나로 모으다)[얽을 전]
取れる | とれる | 토레루 (떨어지다/얻어지다/잡히다)[가질 취]
消滅 | しょうめつ | 쇼우메츠 (소멸)[사라질 소/멸할 멸]
除く | のぞく | 노조쿠 (제외하다/없애다)[덜 제]
流れる | ながれる | 나가레루 (흐르다)[흐를 류]
映る | うつる | 우츠루 (비치다/화면에 나오다)[비칠 영]
惜しい | おしい | 오시이 (아깝다/惜しい)[아낄 석]
突然 | とつぜん | 토츠젠 (갑자기/돌연)[갑자기 돌/그럴 연]
猛烈 | もうれつ | 모우레츠 (맹렬함)[사나울 맹/매울 렬]
警戒 | けいかい | 케이카이 (경계)[경계할 경/경계할 계]
連絡 | れんらく | 렌라쿠 (연락)[이을 련/이을 락]
移動 | いどう | 이도우 (이동)[옮길 이/움직일 동]
嘘 | うそ | 우소 (거짓말)[거짓말 허]
歳 | さい | 사이 (나이/세)[해 세]
状態 | じょうたい | 죠우타이 (상태)[형상 상/모양 태]
能力 | のうりょく | 노우료쿠 (능력)[능할 능/힘 력]
駐車場 | ちゅうしゃじょう | 츄우샤죠우 (주차장)[머무를 주/수레 거/마당 장]
図書館 | としょかん | 토쇼칸 (도서관)[그림 도/글 서/집 관]
坂 | さか | 사카 (비탈길/언덕)[비탈 판]
町 | まち | 마치 (마을/동네)[밭두둑 정]
切符 | きっぷ | 킷푸 (표/승차권)[끊을 절/부신 부]
辺 | へん | 헨 (근처/주변)[가 변]
寂しい | さびしい | 사비시이 (외롭다/쓸쓸하다)[고요할 적]
結局 | けっきょく | 켓쿄쿠 (결국)[맺을 결/판 국]
のんびり | のんびり | 논비리 (느긋하게/한가롭게)
直す | なおす | 나오스 (고치다/바로잡다)[곧을 직]
買取 | かいとり | 카이토리 (매입/사들임)[살 매/가질 취]
興味 | きょうみ | 쿄우미 (흥미)[일 흥/맛 미]
迷い込む | まよいこむ | 마요이코무 (헤매어 들어가다)[미혹할 미/들 입]
迷い | まよい | 마요이 (망설임/헤맴)[미혹할 미]
可成り | かなり | 카나리 (꽤/상당히)[옳을 가/이룰 성]
落ち着く | おちつく | 오치츠쿠 (진정되다/차분해지다)[떨어질 락/붙을 착]
海側 | うみがわ | 우미가와 (바다 쪽)[바다 해/곁 측]
交差点 | こうさてん | 코우사텐 (교차로/사거리)[사귈 교/다를 차/점 점]
信号 | しんごう | 신고우 (신호)[믿을 신/이름 호]
曲がる | まがる | 마가루 (굽다/돌다)[굽을 곡]
中中 | なかなか | 나카나카 (좀처럼/상당히)[가운데 중]
覚える | おぼえる | 오보에루 (외우다/기억하다)[깨달을 각]
規則 | きそく | 키소쿠 (규칙)[법 규/법칙 칙]
観光 | かんこう | 칸코우 (관광)[볼 관/빛 광]
串 | くし | 쿠시 (꼬치)[꿸 관]
処 | ところ | 토코로 (곳/장소)[곳 처]
氷 | こおり | 코오리 (얼음)[얼음 빙]
物件 | ぶっけん | 붓켄 (매물/물건/부동산 물건)[물건 물/물건 건]
貸与 | たいよ | 타이요 (대여/빌려줌)[빌릴 대/줄 여]
相手 | あいて | 아이테 (상대/상대방)[서로 상/손 수]
建物 | たてもの | 타테모노 (건물)[세울 건/물건 물]
肉屋 | にくや | 니쿠야 (정육점)[고기 육/집 옥]
突く | つく | 츠쿠 (찌르다/치다)[찌를 돌]
魚類 | ぎょるい | 교루이 (어류)[물고기 어/무리 류]
八百屋 | やおや | 야오야 (채소가게)[여덟 팔/일백 백/집 옥]
食堂 | しょくどう | 쇼쿠도우 (식당)[먹을 식/집 당]
灰皿 | はいざら | 하이자라 (재떨이)[재 회/접시 명]
吸う | すう | 스우 (빨다/들이마시다)[마실 흡]
呼吸 | こきゅう | 코큐우 (호흡)[부를 호/마실 흡]
高級 | こうきゅう | 코우큐우 (고급)[높을 고/등급 급]
用意 | ようい | 요우이 (준비)[쓸 용/뜻 의]
浴衣 | ゆかた | 유카타 (유카타/일본식 여름옷)[목욕할 욕/옷 의]
旅館 | りょかん | 료칸 (일본식 여관)[나그네 려/집 관]
冊 | さつ | 사츠 (책을 세는 단위)[책 책]
大使館 | たいしかん | 타이시칸 (대사관)[큰 대/부릴 사/집 관]
交番 | こうばん | 코우반 (파출소)[사귈 교/차례 번]
活動 | かつどう | 카츠도우 (활동)[살 활/움직일 동]
巡る | めぐる | 메구루 (돌다/순회하다)[돌 순]
お巡りさん | おまわりさん | 오마와리상 (경찰관)[돌 순]
警官 | けいかん | 케이칸 (경찰관)[경계할 경/벼슬 관]
警察 | けいさつ | 케이사츠 (경찰)[경계할 경/살필 찰]
郵便局 | ゆうびんきょく | 유우빈쿄쿠 (우체국)[우편 우/편할 편/판 국]
焦る | あせる | 아세루 (초조해하다/당황하다)[탈 초]
逃げる | にげる | 니게루 (도망치다)[도망할 도]
検索 | けんさく | 켄사쿠 (검색)[검사할 검/찾을 색]
戻る | もどる | 모도루 (돌아가다/되돌아오다)[어그러질 려]
血液型 | けつえきがた | 케츠에키가타 (혈액형)[피 혈/진 액/모양 형]
交換 | こうかん | 코우칸 (교환)[사귈 교/바꿀 환]
閉じ込める | とじこめる | 토지코메루 (가두다/가둬 넣다)[닫을 폐/들 입]
臆病 | おくびょう | 오쿠뵤우 (겁이 많음/겁쟁이)[가슴 억/병 병]
返す | かえす | 카에스 (돌려주다/되돌리다)[돌이킬 반]
財布 | さいふ | 사이후 (지갑)[재물 재/베 포]
腹 | はら | 하라 (배/복부)[배 복]
豚 | ぶた | 부타 (돼지)[돼지 돈]
記憶 | きおく | 키오쿠 (기억)[기록할 기/생각할 억]
参加 | さんか | 산카 (참가)[참여할 참/더할 가]
解ける | とける | 토케루 (풀리다/해결되다)[풀 해]
溶ける | とける | 토케루 (녹다)[녹을 용]
唐揚げ | からあげ | 카라아게 (가라아게/일본식 튀김)[당나라 당/오를 양]
特製 | とくせい | 토쿠세이 (특제)[특별할 특/지을 제]
秘訣 | ひけつ | 히케츠 (비결)[숨길 비/이별할 결]
頼り | たより | 타요리 (의지/믿을 만한 것)[의뢰할 뢰]
繋がる | つながる | 츠나가루 (이어지다/연결되다)[맬 계]
不具合 | ふぐあい | 후구아이 (고장/문제/이상)[아닐 불/갖출 구/합할 합]
裏 | うら | 우라 (뒤/안쪽)[속 리]
返事 | へんじ | 헨지 (대답/답장)[돌이킬 반/일 사]
外れ | はずれ | 하즈레 (빗나감/꽝/외곽)[바깥 외]
訪ねる | たずねる | 타즈네루 (방문하다/찾아가다)[찾을 방]
お弁当 | おべんとう | 오벤토우 (도시락)[분별할 변/마땅 당]
景色 | けしき | 케시키 (경치/풍경)[볕 경/빛 색]
売り場 | うりば | 우리바 (판매장/매장)[팔 매/마당 장]
区役所 | くやくしょ | 쿠야쿠쇼 (구청)[구분할 구/부릴 역/바 소]
美容院 | びよういん | 비요우인 (미용실)[아름다울 미/얼굴 용/집 원]
俳優 | はいゆう | 하이유우 (배우)[배우 배/넉넉할 우]
髪 | かみ | 카미 (머리카락)[터럭 발]
神社 | じんじゃ | 진쟈 (신사)[귀신 신/모일 사]
お寺 | おてら | 오테라 (절/사찰)[절 사]
治る | なおる | 나오루 (낫다/고쳐지다)[다스릴 치]
美術館 | びじゅつかん | 비쥬츠칸 (미술관)[아름다울 미/재주 술/집 관]
悪い | わるい | 와루이 (나쁘다)[악할 악]
育つ | そだつ | 소다츠 (자라다/성장하다)[기를 육]
珍しい | めずらしい | 메즈라시이 (드물다/진귀하다)[보배 진]
田舎 | いなか | 이나카 (시골)[밭 전/집 사]
郊外 | こうがい | 코우가이 (교외/도시 외곽)[성 밖 교/바깥 외]
眺め | ながめ | 나가메 (전망/경치)[바라볼 조]
夢 | ゆめ | 유메 (꿈)[꿈 몽]
引っ越す | ひっこす | 힛코스 (이사하다)[끌 인/넘을 월]
村 | むら | 무라 (마을)[마을 촌]
市民 | しみん | 시민 (시민)[저자 시/백성 민]
減る | へる | 헤루 (줄다/감소하다)[덜 감]
悪戯 | いたずら | 이타즈라 (장난)[악할 악/희롱할 희]
軽い | かるい | 카루이 (가볍다)[가벼울 경]
一生懸命 | いっしょうけんめい | 잇쇼우켄메이 (열심히/필사적으로)[한 일/날 생/매달릴 현/목숨 명]
追加 | ついか | 츠이카 (추가)[쫓을 추/더할 가]
困る | こまる | 코마루 (곤란하다)[곤할 곤]
素直 | すなお | 스나오 (솔직하다/순하다)[본디 소/곧을 직]
通り | とおり | 토오리 (거리/길/대로)[통할 통]
急かす | せかす | 세카스 (재촉하다)[급할 급]
起きる | おきる | 오키루 (일어나다/발생하다)[일어날 기]
去る | さる | 사루 (떠나다/지나가다)[갈 거]
秘密 | ひみつ | 히미츠 (비밀)[숨길 비/빽빽할 밀]
一杯 | いっぱい | 잇파이 (한 잔/가득)[한 일/잔 배]
～ずつ | ずつ | 즈츠 (씩/각각)
それで | それで | 소레데 (그래서/그것으로)
意地悪 | いじわる | 이지와루 (심술궂음/짓궂음)[뜻 의/땅 지/악할 악]
張る | はる | 하루 (붙이다/치다/팽팽하게 하다)[베풀 장]
助かる | たすかる | 타스카루 (도움이 되다/살아나다)[도울 조]
認める | みとめる | 미토메루 (인정하다)[알 인]
疑う | うたがう | 우타가우 (의심하다)[의심할 의]
幸い | さいわい | 사이와이 (다행/행복하게도)[다행 행]
決済 | けっさい | 켓사이 (결제)[결단할 결/건널 제]
既に | すでに | 스데니 (이미)[이미 기]
ちょくちょく | ちょくちょく | 쵸쿠쵸쿠 (자주/종종)
薬 | くすり | 쿠스리 (약)[약 약]
飾る | かざる | 카자루 (장식하다)[꾸밀 식]
凄い | すごい | 스고이 (굉장하다/대단하다)[굉장할 처]
炭火 | すみび | 스미비 (숯불)[숯 탄/불 화]
平穏 | へいおん | 헤이온 (평온)[평평할 평/평온할 온]
西洋 | せいよう | 세이요우 (서양)[서녘 서/바다 양]
集い | つどい | 츠도이 (모임)[모을 집]
余裕 | よゆう | 요유우 (여유)[남을 여/넉넉할 유]
枝 | えだ | 에다 (가지)[가지 지]
到頭 | とうとう | 토우토우 (드디어/결국)[이를 도/머리 두]
暮れる | くれる | 쿠레루 (저물다/날이 어두워지다)[저물 모]
釣り | つり | 츠리 (낚시)[낚을 조]
向こう | むこう | 무코우 (저쪽/맞은편)[향할 향]
箸 | はし | 하시 (젓가락)[젓가락 저]
橋 | はし | 하시 (다리)[다리 교]
砂絵 | すなえ | 스나에 (모래 그림)[모래 사/그림 회]
海岸 | かいがん | 카이간 (해안)[바다 해/언덕 안]
登る | のぼる | 노보루 (오르다)[오를 등]
卒業 | そつぎょう | 소츠교우 (졸업)[마칠 졸/업 업]
蘞い | えぐい | 에구이 (떫다/독하다) ※ 보통은 エグい로 많이 씀
ほっぺ | ほっぺ | 홋페 (볼/뺨)
雀 | すずめ | 스즈메 (참새)[참새 작]
粘り | ねばり | 네바리 (끈기/점성)[끈끈할 점]
挫折 | ざせつ | 자세츠 (좌절)[꺾일 좌/꺾을 절]
制約 | せいやく | 세이야쿠 (제약)[절제할 제/맺을 약]
末 | すえ | 스에 (끝/말미)[끝 말]
稼ぐ | かせぐ | 카세구 (돈을 벌다)[벌 가]
本編 | ほんぺん | 혼펜 (본편)[근본 본/엮을 편]
瞬間 | しゅんかん | 슌칸 (순간)[눈깜짝할 순/사이 간]
こつこつ | こつこつ | 코츠코츠 (꾸준히/성실히)
寄せる | よせる | 요세루 (모으다/다가오게 하다)[부칠 기]
こだわり | こだわり | 코다와리 (고집/집착)
支給 | しきゅう | 시큐우 (지급)[지탱할 지/줄 급]
咲く | さく | 사쿠 (꽃이 피다)[필 소]
彩り | いろどり | 이로도리 (색채/채색)[채색 채]
心地 | ここち | 코코치 (기분/감촉)[마음 심/땅 지]
まったり | まったり | 맛타리 (느긋하게/여유롭게)
お節介 | おせっかい | 오셋카이 (쓸데없는 참견)[마디 절/낄 개]
準備 | じゅんび | 쥰비 (준비)[준할 준/갖출 비]
到着 | とうちゃく | 토우차쿠 (도착)[이를 도/붙을 착]
華々しい | はなばなしい | 하나바나시이 (화려하다)[꽃 화]
投稿 | とうこう | 토우코우 (투고/게시하다)[던질 투/원고 고]
数量 | すうりょう | 스우료우 (수량)[셈 수/헤아릴 량]
髭 | ひげ | 히게 (수염)[수염 수]
保つ | たもつ | 타모츠 (유지하다/보존하다)[보전할 보]
健康 | けんこう | 켄코우 (건강)[굳셀 건/편안할 강]
罠 | わな | 와나 (함정/덫)[그물 함]
過失 | かしつ | 카시츠 (과실/실수)[지날 과/잃을 실]
失う | うしなう | 우시나우 (잃다)[잃을 실]
自慢 | じまん | 지만 (자랑)[스스로 자/거만할 만]
職業 | しょくぎょう | 쇼쿠교우 (직업)[벼슬 직/업 업]
絵の具 | えのぐ | 에노구 (물감)[그림 회/도구 구]
鋏 | はさみ | 하사미 (가위)[가위 협]
浮かぶ | うかぶ | 우카부 (떠오르다/떠다니다)[뜰 부]
糊 | のり | 노리 (풀)[풀 호]
御互い | おたがい | 오타가이 (서로/피차)[서로 호]
展示 | てんじ | 텐지 (전시)[펼 전/보일 시]
日頃 | ひごろ | 히고로 (평소)[날 일/무렵 경]
愛しい | いとしい | 이토시이 (사랑스럽다)[사랑 애]
凄まじい | すさまじい | 스사마지이 (엄청나다/무시무시하다)[굉장할 처]
誘う | さそう | 사소우 (권유하다/유혹하다)[꾈 유]
売切れ | うりきれ | 우리키레 (매진)[팔 매/끊을 절]
お釣り | おつり | 오츠리 (거스름돈)[낚을 조]
肌 | はだ | 하다 (피부)[살갗 기]
傷あと | きずあと | 키즈아토 (흉터)[상처 상]
香り | かおり | 카오리 (향기)[향기 향]
触れる | ふれる | 후레루 (만지다/접촉하다)[닿을 촉]
裸 | はだか | 하다카 (알몸)[벗을 라]
優秀 | ゆうしゅう | 유우슈우 (우수함)[뛰어날 우/빼어날 수]
祈る | いのる | 이노루 (기도하다)[빌 기]
都合 | つごう | 츠고우 (형편/사정)[도읍 도/합할 합]
振返る | ふりかえる | 후리카에루 (뒤돌아보다)[떨칠 진/돌이킬 반]
応援 | おうえん | 오우엔 (응원)[응할 응/도울 원]
床屋 | とこや | 토코야 (이발소)[평상 상/집 옥]
解説 | かいせつ | 카이세츠 (해설)[풀 해/말씀 설]
企画 | きかく | 키카쿠 (기획)[꾀할 기/그을 획]
骨 | ほね | 호네 (뼈)[뼈 골]
雑談 | ざつだん | 자츠단 (잡담)[섞일 잡/말씀 담]
迎え | むかえ | 무카에 (마중)[맞을 영]
腕 | うで | 우데 (팔/실력)[팔 완]
ほくろ | ほくろ | 호쿠로 (점)
個 | こ | 코 (개/개수 단위)[낱 개]
奴 | やつ | 야츠 (녀석)[종 노]
加える | くわえる | 쿠와에루 (더하다/추가하다)[더할 가]
魂 | たましい | 타마시이 (영혼)[넋 혼]
許す | ゆるす | 유루스 (용서하다/허락하다)[허락할 허]
果す | はたす | 하타스 (이루다/다하다)[이룰 과]
拘わらず | かかわらず | 카카와라즈 (관계없이)[얽힐 구]
ばっさり | ばっさり | 밧사리 (싹둑/과감하게)
影 | かげ | 카게 (그림자)[그림자 영]
見失う | みうしなう | 미우시나우 (놓치다/잃어버리다)[볼 견/잃을 실]
見逃す | みのがす | 미노가스 (못 보고 넘기다/봐주다)[볼 견/달아날 도]
嗅ぐ | かぐ | 카구 (냄새를 맡다)[맡을 후]
精神 | せいしん | 세이신 (정신)[정신 정/귀신 신]
年齢 | ねんれい | 넨레이 (연령)[해 년/나이 령]
切ない | せつない | 세츠나이 (애절하다/괴롭다)[끊을 절]
若い | わかい | 와카이 (젊다)[젊을 약]
がっつり | がっつり | 갓츠리 (든든하게/확실하게)
拝見 | はいけん | 하이켄 (배견하다/보다의 겸양어)[절 배/볼 견]
粒 | つぶ | 츠부 (알갱이)[낟알 립]
載せる | のせる | 노세루 (싣다/올리다)[실을 재]
控える | ひかえる | 히카에루 (삼가다/기다리다)[당길 공]
描く | えがく | 에가쿠 (그리다)[그릴 묘]
拭く | ふく | 후쿠 (닦다)[닦을 식]
被る | かぶる | 카부루 (쓰다/뒤집어쓰다)[입을 피]
平ら | たいら | 타이라 (평평하다)[평평할 평]
喧しい | やかましい | 야카마시이 (시끄럽다)[떠들썩할 훤]
奥歯 | おくば | 오쿠바 (어금니)[속 오/이 치]
追込み | おいこみ | 오이코미 (막바지 몰아붙임)[쫓을 추/들 입]
福岡 | ふくおか | 후쿠오카 (후쿠오카)[복 복/언덕 강]
千葉 | ちば | 치바 (치바)[일천 천/잎 엽]
通りかかる | とおりかかる | 토오리카카루 (지나가다가 마주치다)[통할 통]
偶 | たまたま | 타마타마 (우연히)[짝 우]
襲われる | おそわれる | 오소와레루 (습격당하다)[엄습할 습]
際 | さい | 사이 (때/경우/즈음)[가 변]
異常 | いじょう | 이죠우 (이상/비정상)[다를 이/항상 상]
挑む | いどむ | 이도무 (도전하다)[돋울 도]
行為 | こうい | 코우이 (행위)[다닐 행/할 위]
虚構 | きょこう | 쿄코우 (허구)[빌 허/얽을 구]
戯言 | たわごと | 타와고토 (허튼소리)[희롱할 희/말씀 언]
裏表 | うらおもて | 우라오모테 (앞뒤/겉과 속)[속 리/겉 표]
宣言 | せんげん | 센겐 (선언)[베풀 선/말씀 언]
等 | など | 나도 (등/등등)[무리 등]
場合 | ばあい | 바아이 (경우)[마당 장/합할 합]
後程 | のちほど | 노치호도 (나중에)[뒤 후/정도 정]
適切 | てきせつ | 테키세츠 (적절함)[맞을 적/끊을 절]
探る | さぐる | 사구루 (살피다/탐색하다)[찾을 탐]
誠 | まこと | 마코토 (진심/성실)[정성 성]
渋い | しぶい | 시부이 (떫다/수수하다)[떫을 삽]
悩む | なやむ | 나야무 (고민하다)[괴로워할 뇌]
いよいよ | いよいよ | 이요이요 (드디어/점점)
ちょびっと | ちょびっと | 쵸빗토 (조금)
逃す | のがす | 노가스 (놓치다)[달아날 도]
申込み | もうしこみ | 모우시코미 (신청)[아뢸 신/들 입]
仕上がり | しあがり | 시아가리 (완성 상태)[섬길 사/오를 상]
零れ | こぼれ | 코보레 (넘침/흘러넘침)[떨어질 영]
転ける | こける | 코케루 (넘어지다)[구를 전]
切替える | きりかえる | 키리카에루 (전환하다/바꾸다)[끊을 절/바꿀 환]
置き去り | おきざり | 오키자리 (버려둠/남겨둠)[둘 치/갈 거]
即 | そく | 소쿠 (즉/곧)[곧 즉]
予め | あらかじめ | 아라카지메 (미리)[미리 예]
保管 | ほかん | 호칸 (보관)[보전할 보/간직할 관]
汚れ | よごれ | 요고레 (더러움/오염)[더러울 오]
ひょっとしたら | ひょっとしたら | 효톳토시타라 (어쩌면)
徴収 | ちょうしゅう | 쵸우슈우 (징수)[부를 징/거둘 수]
税金 | ぜいきん | 제이킨 (세금)[세금 세/쇠 금]
精算 | せいさん | 세이산 (정산)[정할 정/셈 산]
賜わる | たまわる | 타마와루 (받들어 받다)[줄 사]
頂く | いただく | 이타다쿠 (받다/먹다의 겸양어)[정수리 정]
桜 | さくら | 사쿠라 (벚꽃)[벚나무 앵]
割れる | われる | 와레루 (깨지다/갈라지다)[나눌 할]
うっかり | うっかり | 웃카리 (무심코/깜빡)
小包 | こづつみ | 코즈츠미 (소포)[작을 소/쌀 포]
染まる | そまる | 소마루 (물들다)[물들 염]
眠る | ねむる | 네무루 (잠들다)[잠잘 면]
脳 | のう | 노우 (뇌)[골 뇌]
追う | おう | 오우 (쫓다)[쫓을 추]
すっきり | すっきり | 슷키리 (개운하게/깔끔하게)
為 | ため | 타메 (~을 위해/때문에)[할 위]
しっとり | しっとり | 싯토리 (촉촉하게)
じめじめ | じめじめ | 지메지메 (축축하게/습하게)
定期 | ていき | 테이키 (정기)[정할 정/기약할 기]
麦 | むぎ | 무기 (보리)[보리 맥]
